,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,Team Name
0,Abrar Ahmed,2023-2023,3,3,12,0,92,3,21-Feb,30.66,7.66,24,0,0,0,0,Islamabad United
1,Ahmed Safi Abdullah,2020-2020,3,3,8,0,65,4,17-Feb,16.25,8.12,12,0,0,0,0,Islamabad United
2,Akif Javed,2020-2021,11,10,34,0,285,10,Mar-43,28.5,8.38,20.4,0,0,2,0,Islamabad United
3,Ali Khan,2021-2021,3,3,8.2,0,70,2,10-Jan,35,8.4,25,0,0,1,0,Islamabad United
4,Amad Butt,2017-2020,16,14,40.5,0,375,15,27-Apr,25,9.18,16.3,1,0,8,0,Islamabad United
5,Ashar Zaidi,2016-2016,3,2,8,0,59,0,-,-,7.37,-,0,0,0,0,Islamabad United
6,Asif Ali,2016-2023,76,1,3,0,27,2,27-Feb,13.5,9,9,0,0,30,0,Islamabad United
7,Athar Mahmood,2022-2022,3,3,8,0,49,0,-,-,6.12,-,0,0,1,0,Islamabad United
8,Azam Khan,2022-2023,22,-,-,-,-,-,-,-,-,-,-,-,10,4,Islamabad United
9,Azhar Mahmood,2016-2016,2,2,7,0,57,1,22-Jan,57,8.14,42,0,0,2,0,Islamabad United
10,Babar Azam,2016-2016,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Islamabad United
11,S Badree,2016-2017,7,7,26,1,192,4,20-Jan,48,7.38,39,0,0,1,0,Islamabad United
12,IR Bell,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,0,0,Islamabad United
13,SW Billings,2016-2017,10,-,-,-,-,-,-,-,-,-,-,-,5,0,Islamabad United
14,TK Curran,2023-2023,5,5,20,0,181,8,Mar-34,22.62,9.05,15,0,0,2,0,Islamabad United
15,Danish Aziz,2022-2022,3,1,0.2,0,6,0,-,-,18,-,0,0,0,0,Islamabad United
16,LA Dawson,2022-2022,7,7,23.3,1,159,9,16-Mar,17.66,6.76,15.6,0,0,1,0,Islamabad United
17,M de Lange,2022-2022,5,5,15,0,153,2,Jan-32,76.5,10.2,45,0,0,2,0,Islamabad United
18,CS Delport,2019-2019,12,4,9,0,66,4,24-Feb,16.5,7.33,13.5,0,0,1,0,Islamabad United
19,BM Duckett,2017-2017,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Islamabad United
20,JP Duminy,2018-2018,10,3,9,0,70,1,Jan-38,70,7.77,54,0,0,8,0,Islamabad United
21,Faheem Ashraf,2018-2023,60,60,202.5,1,1668,72,19-Jun,23.16,8.22,16.9,1,1,22,0,Islamabad United
22,Fawad Ahmed,2021-2021,5,5,20,0,167,6,25-Feb,27.83,8.35,20,0,0,0,0,Islamabad United
23,Fazalhaq Farooqi,2023-2023,6,6,23.1,0,183,11,25-Mar,16.63,7.89,12.6,0,0,2,0,Islamabad United
24,ST Finn,2018-2018,5,5,16,0,124,5,Mar-35,24.8,7.75,19.2,0,0,1,0,Islamabad United
25,L Gregory,2021-2021,2,2,5,0,42,2,Feb-31,21,8.4,15,0,0,0,0,Islamabad United
26,BJ Haddin,2016-2017,17,-,-,-,-,-,-,-,-,-,-,-,11,1,Islamabad United
27,AD Hales,2018-2023,25,-,-,-,-,-,-,-,-,-,-,-,12,0,Islamabad United
28,Hasan Ali,2021-2023,27,27,105.3,1,931,35,30-Mar,26.6,8.82,18,0,0,9,0,Islamabad United
29,Hassan Nawaz,2023-2023,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Islamabad United
30,Hussain Talat,2017-2021,40,13,26,0,261,7,18-Feb,37.28,10.03,22.2,0,0,12,0,Islamabad United
31,Iftikhar Ahmed,2018-2021,13,6,8.1,0,79,1,11-Jan,79,9.67,49,0,0,9,0,Islamabad United
32,Imran Khalid,2016-2017,12,11,28.1,1,199,10,20-Apr,19.9,7.06,16.9,1,0,5,0,Islamabad United
33,CA Ingram,2020-2020,9,-,-,-,-,-,-,-,-,-,-,-,2,0,Islamabad United
34,WG Jacks,2022-2022,2,-,-,-,-,-,-,-,-,-,-,-,3,0,Islamabad United
35,Kamran Ghulam,2016-2016,2,1,1,0,6,0,-,-,6,-,0,0,0,0,Islamabad United
36,Khalid Latif,2016-2016,9,-,-,-,-,-,-,-,-,-,-,-,3,0,Islamabad United
37,UT Khawaja,2021-2021,7,-,-,-,-,-,-,-,-,-,-,-,0,0,Islamabad United
38,BA King,2021-2021,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Islamabad United
39,DJ Malan,2020-2020,4,-,-,-,-,-,-,-,-,-,-,-,1,0,Islamabad United
40,Misbah-ul-Haq,2016-2018,26,-,-,-,-,-,-,-,-,-,-,-,10,0,Islamabad United
41,Mohammad Huraira,2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,0,0,Islamabad United
42,Mohammad Irfan,2016-2017,14,14,51,2,365,14,22-Mar,26.07,7.15,21.8,0,0,2,0,Islamabad United
43,Mohammad Sami,2016-2019,36,36,127,1,875,42,8-May,20.83,6.88,18.1,0,1,11,0,Islamabad United
44,Mohammad Wasim,2021-2023,25,25,91.3,0,887,28,Apr-31,31.67,9.69,19.6,1,0,8,0,Islamabad United
45,Mubasir Khan,2022-2023,14,11,16,0,139,2,5-Jan,69.5,8.68,48,0,0,5,0,Islamabad United
46,Muhammad Akhlaq,2021-2022,7,-,-,-,-,-,-,-,-,-,-,-,5,0,Islamabad United
47,Muhammad Musa,2019-2022,19,18,58.4,2,550,19,18-Mar,28.94,9.37,18.5,0,0,3,0,Islamabad United
48,C Munro,2020-2023,29,-,-,-,-,-,-,-,-,-,-,-,6,0,Islamabad United
49,Nasir Nawaz,2019-2022,2,-,-,-,-,-,-,-,-,-,-,-,1,0,Islamabad United
50,WD Parnell,2019-2019,3,2,2,0,32,0,-,-,16,-,0,0,1,0,Islamabad United
51,SR Patel,2018-2019,17,17,53,0,379,17,Apr-34,22.29,7.15,18.7,1,0,6,0,Islamabad United
52,N Pooran,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,0,0,Islamabad United
53,Rafatullah Mohmand,2017-2017,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Islamabad United
54,Rahmanullah Gurbaz,2022-2023,14,-,-,-,-,-,-,-,-,-,-,-,6,0,Islamabad United
55,Rizwan Hussain,2019-2020,9,-,-,-,-,-,-,-,-,-,-,-,2,0,Islamabad United
56,Rohail Nazir,2021-2021,4,-,-,-,-,-,-,-,-,-,-,-,3,1,Islamabad United
57,L Ronchi,2018-2020,31,-,-,-,-,-,-,-,-,-,-,-,19,3,Islamabad United
58,Rumman Raees,2016-2023,38,38,132,0,1023,40,25-Apr,25.57,7.75,19.8,1,0,10,0,Islamabad United
59,AD Russell,2016-2018,14,13,44.2,0,365,20,18-Mar,18.25,8.23,13.3,0,0,6,0,Islamabad United
60,Saeed Ajmal,2016-2017,10,10,33.4,0,273,9,27-Mar,30.33,8.1,22.4,0,0,1,0,Islamabad United
61,Sahibzada Farhan,2018-2019,9,-,-,-,-,-,-,-,-,-,-,-,5,0,Islamabad United
62,PD Salt,2019-2021,10,-,-,-,-,-,-,-,-,-,-,-,6,0,Islamabad United
63,Shadab Khan,2017-2023,72,71,256.4,1,1934,77,28-May,25.11,7.53,20,2,1,30,0,Islamabad United
64,Sharjeel Khan,2016-2017,12,-,-,-,-,-,-,-,-,-,-,-,4,0,Islamabad United
65,DR Smith,2016-2017,13,3,4,0,45,0,-,-,11.25,-,0,0,5,0,Islamabad United
66,Sohaib Maqsood,2023-2023,2,-,-,-,-,-,-,-,-,-,-,-,1,0,Islamabad United
67,DW Steyn,2020-2020,4,4,11,1,84,2,18-Jan,42,7.63,33,0,0,0,0,Islamabad United
68,PR Stirling,2021-2023,10,-,-,-,-,-,-,-,-,-,-,-,2,0,Islamabad United
69,Umar Amin,2016-2021,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Islamabad United
70,HE van der Dussen,2023-2023,6,-,-,-,-,-,-,-,-,-,-,-,5,0,Islamabad United
71,CAK Walton,2018-2019,9,-,-,-,-,-,-,-,-,-,-,-,4,0,Islamabad United
72,Waqas Maqsood,2019-2022,10,10,37.4,0,350,14,Apr-35,25,9.29,16.1,1,0,2,0,Islamabad United
73,SR Watson,2016-2017,15,15,37,0,326,11,Apr-44,29.63,8.81,20.1,1,0,2,0,Islamabad United
74,Zafar Gohar,2018-2022,11,11,34,0,287,11,25-Mar,26.09,8.44,18.5,0,0,2,0,Islamabad United
75,Zahid Mahmood,2022-2022,2,2,7,0,49,1,20-Jan,49,7,42,0,0,0,0,Islamabad United
76,Zahir Khan,2022-2022,2,2,7,0,67,2,Jan-32,33.5,9.57,21,0,0,1,0,Islamabad United
77,Zeeshan Zameer,2022-2023,3,3,4.3,0,47,1,10-Jan,47,10.44,27,0,0,1,0,Islamabad United
78,Zohaib Khan,2017-2017,1,1,1,0,13,0,-,-,13,-,0,0,1,0,Islamabad United
0,Aamer Yamin,2019-2023,27,26,75.2,2,686,19,Mar-37,36.1,9.1,23.7,0,0,7,0,Karachi Kings
1,Abbas Afridi,2021-2021,4,4,10,0,102,4,27-Feb,25.5,10.2,15,0,0,1,0,Karachi Kings
2,Abrar Ahmed,2017-2017,2,2,6,0,41,0,-,-,6.83,-,0,0,0,0,Karachi Kings
3,Akif Javed,2023-2023,5,5,15.3,0,135,8,28-Apr,16.87,8.7,11.6,1,0,0,0,Karachi Kings
4,Ali Khan,2020-2020,1,1,3,0,36,1,Jan-36,36,12,18,0,0,0,0,Karachi Kings
5,Arshad Iqbal,2020-2021,16,16,53.2,1,466,17,16-Mar,27.41,8.73,18.8,0,0,1,0,Karachi Kings
6,Awais Zia,2019-2019,2,1,0.1,0,4,0,-,-,24,-,0,0,0,0,Karachi Kings
7,Babar Azam,2017-2022,66,-,-,-,-,-,-,-,-,-,-,-,39,0,Karachi Kings
8,Bilawal Bhatti,2016-2016,1,1,4,0,36,2,Feb-36,18,9,12,0,0,0,0,Karachi Kings
9,RS Bopara,2016-2019,31,18,43,0,376,15,16-Jun,25.06,8.74,17.2,0,1,16,0,Karachi Kings
10,DT Christian,2021-2021,5,5,12.2,0,134,4,12-Jan,33.5,10.86,18.5,0,0,2,0,Karachi Kings
11,JM Clarke,2021-2022,13,-,-,-,-,-,-,-,-,-,-,-,7,1,Karachi Kings
12,IA Cockbain,2022-2022,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Karachi Kings
13,BCJ Cutting,2023-2023,6,2,4,0,41,3,12-Feb,13.66,10.25,8,0,0,6,0,Karachi Kings
14,Danish Aziz,2018-2021,4,2,3,0,31,0,-,-,10.33,-,0,0,2,0,Karachi Kings
15,CS Delport,2020-2020,8,3,9.1,0,93,1,23-Jan,93,10.14,55,0,0,3,0,Karachi Kings
16,JL Denly,2018-2018,12,1,2,0,15,0,-,-,7.5,-,0,0,8,0,Karachi Kings
17,BR Dunk,2019-2019,7,-,-,-,-,-,-,-,-,-,-,-,3,3,Karachi Kings
18,JK Fuller,2023-2023,3,3,11,0,104,2,29-Jan,52,9.45,33,0,0,1,0,Karachi Kings
19,CH Gayle,2017-2017,9,-,-,-,-,-,-,-,-,-,-,-,3,0,Karachi Kings
20,L Gregory,2022-2022,7,6,14,0,127,1,22-Jan,127,9.07,84,0,0,6,0,Karachi Kings
21,MJ Guptill,2021-2021,6,-,-,-,-,-,-,-,-,-,-,-,3,0,Karachi Kings
22,Haider Ali,2023-2023,6,-,-,-,-,-,-,-,-,-,-,-,1,0,Karachi Kings
